title,model,price,date,url
rog strix g713rm 3060 노트북 팝니다,기타,650000.0,2025-05-02 01:02:25.884439,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/rog-strix-g713rm-3060-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%9D%EB%8B%88%EB%8B%A4-5rbenmz4q351/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북 가죽케이스 새상품 판매합니다,기타,42000.0,2025-05-02 01:02:25.884442,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-%EA%B0%80%EC%A3%BD%EC%BC%80%EC%9D%B4%EC%8A%A4-%EC%83%88%EC%83%81%ED%92%88-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-57mrq4qerz63/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
msi i-7 노트북 15.5인치,기타,150000.0,2025-05-02 01:02:25.884447,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/msi-i-7-%EB%85%B8%ED%8A%B8%EB%B6%81-15-5%EC%9D%B8%EC%B9%98-5qjweooc2kqn/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
MSI Cyborg 15 A12VF 노트북,기타,1100000.0,2025-05-02 01:02:25.884451,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/msi-cyborg-15-a12vf-%EB%85%B8%ED%8A%B8%EB%B6%81-wfhvz1y6y8xb/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
레노버 노트북 / 아이디어패드 L340 게이밍 노트북,레노버,150000.0,2025-05-02 01:02:25.884456,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%A0%88%EB%85%B8%EB%B2%84-%EB%85%B8%ED%8A%B8%EB%B6%81-%EC%95%84%EC%9D%B4%EB%94%94%EC%96%B4%ED%8C%A8%EB%93%9C-l340-%EA%B2%8C%EC%9D%B4%EB%B0%8D-%EB%85%B8%ED%8A%B8%EB%B6%81-6h118jj3pwym/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
서피스 랩탑4 13.5인치/라이젠5/8GB/256GB,기타,350000.0,2025-05-02 01:02:25.884461,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%84%9C%ED%94%BC%EC%8A%A4-%EB%9E%A9%ED%83%914-13-5%EC%9D%B8%EC%B9%98-%EB%9D%BC%EC%9D%B4%EC%A0%A05-8gb-256gb-hd9py24rytwu/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북 모니터암 장착 거치대,기타,5000.0,2025-05-02 01:02:25.884465,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-%EB%AA%A8%EB%8B%88%ED%84%B0%EC%95%94-%EC%9E%A5%EC%B0%A9-%EA%B1%B0%EC%B9%98%EB%8C%80-n4etzpjo1q6p/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북용 hdd 팝니다,기타,30000.0,2025-05-02 01:02:25.884469,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81%EC%9A%A9-hdd-%ED%8C%9D%EB%8B%88%EB%8B%A4-kfm5q3fgq1id/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북 가방,기타,6000.0,2025-05-02 01:02:25.884472,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-%EA%B0%80%EB%B0%A9-op1trg28m59a/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
spc 5900 rt 삼성 노트북,삼성,5000.0,2025-05-02 01:02:25.884476,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/spc-5900-rt-%EC%82%BC%EC%84%B1-%EB%85%B8%ED%8A%B8%EB%B6%81-1hbhzn5aq9do/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북 어답터,기타,2000.0,2025-05-02 01:02:25.884480,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-%EC%96%B4%EB%8B%B5%ED%84%B0-59y7g7ydsis9/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
LG P420 노트북,LG,50000.0,2025-05-02 01:02:25.884488,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/lg-p420-%EB%85%B8%ED%8A%B8%EB%B6%81-eyf391yrxwny/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
더퓨어 노트북 거치대 PS-T3,기타,10000.0,2025-05-02 01:02:25.884491,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%8D%94%ED%93%A8%EC%96%B4-%EB%85%B8%ED%8A%B8%EB%B6%81-%EA%B1%B0%EC%B9%98%EB%8C%80-ps-t3-spdznc59faw9/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
와이드형 LG 노트북 판매,LG,180000.0,2025-05-02 01:02:25.884495,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%99%80%EC%9D%B4%EB%93%9C%ED%98%95-lg-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%90%EB%A7%A4-9kwhx6izij7w/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
🧡Hp i7 17인치 노트북🧡,기타,171000.0,2025-05-02 01:02:25.884499,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/hp-i7-17%EC%9D%B8%EC%B9%98-%EB%85%B8%ED%8A%B8%EB%B6%81-3qvbhy8ufp1s/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
